customer_number,Recency,Frequency,Monetary,label
14,1,56,675.72,Potential Loyal Customers
45,1,33,585.73,Potential Loyal Customers
52,2,59,222.18,Potential Loyal Customers
61,3,37,547.87,Potential Loyal Customers
63,7,48,293.34,Potential Loyal Customers
67,2,45,1584.18,Champions
68,2,18,225.41,Potential Loyal Customers
71,3,42,1233.78,Champions
77,0,20,355.16,Potential Loyal Customers
81,4,37,729.04,Potential Loyal Customers
83,6,53,518.58,Potential Loyal Customers
85,1,67,600.74,Potential Loyal Customers
108,2,46,554.54,Potential Loyal Customers
110,93,35,177.29,Need Attention
111,0,40,530.64,Potential Loyal Customers
117,0,48,440.71,Potential Loyal Customers
119,1,79,855.23,Loyal Customers
123,7,43,599.29,Potential Loyal Customers
124,0,33,566.97,Potential Loyal Customers
133,4,54,700.34,Potential Loyal Customers
136,18,14,729.55,Potential Loyal Customers
140,1,39,303.53,Potential Loyal Customers
144,3,22,261.16,Potential Loyal Customers
149,52,11,164.66,Promising Customers
153,1,47,745.69,Potential Loyal Customers
156,0,95,967.75,Loyal Customers
157,2,55,1857.65,Champions
166,161,19,267.96,Need Attention
170,0,63,829.75,Potential Loyal Customers
176,2,46,202.67,Potential Loyal Customers
182,0,102,389.09,Loyal Customers
186,0,159,569.31,Loyal Customers
187,136,31,517.63,Need Attention
191,12,55,475.18,Potential Loyal Customers
198,4,39,446.97,Potential Loyal Customers
201,0,80,666.04,Loyal Customers
202,0,41,380.68,Potential Loyal Customers
206,1,115,1075.19,Loyal Customers
212,0,81,419.77,Loyal Customers
215,7,4,401.93,Potential Loyal Customers
218,0,123,695.33,Loyal Customers
221,3,32,572.35,Potential Loyal Customers
230,2,9,148.25,Potential Loyal Customers
231,1,157,961.42,Loyal Customers
232,0,111,1045.33,Loyal Customers
236,4,75,650.07,Loyal Customers
244,6,63,1338.67,Champions
247,0,27,1199.87,Potential Loyal Customers
256,1,50,804.6,Potential Loyal Customers
257,14,41,634.38,Potential Loyal Customers
258,8,49,380.57,Potential Loyal Customers
263,0,258,1411.27,At Risk
269,0,18,690.51,Potential Loyal Customers
275,30,8,162.03,Promising Customers
276,5,79,667.79,Loyal Customers
277,0,56,1014.82,Potential Loyal Customers
280,0,54,344.85,Potential Loyal Customers
281,0,128,1282.69,Loyal Customers
283,2,114,1080.41,Loyal Customers
305,97,30,233.44,Need Attention
308,0,45,533.12,Potential Loyal Customers
309,1,51,377.71,Potential Loyal Customers
312,0,109,752.32,Loyal Customers
320,3,50,415.49,Potential Loyal Customers
324,2,26,200.37,Potential Loyal Customers
328,3,8,542.51,Potential Loyal Customers
341,0,86,675.36,Loyal Customers
342,0,38,461.5,Potential Loyal Customers
349,0,64,649.97,Potential Loyal Customers
350,7,30,546.06,Potential Loyal Customers
352,2,57,505.68,Potential Loyal Customers
356,1,51,236.48,Potential Loyal Customers
357,0,68,1996.51,Champions
359,9,41,780.02,Potential Loyal Customers
362,1,76,591.95,Loyal Customers
367,0,93,951.8,Loyal Customers
368,2,56,736.22,Potential Loyal Customers
372,4,53,757.52,Potential Loyal Customers
385,1,52,894.2,Potential Loyal Customers
386,12,169,630.23,Loyal Customers
395,0,49,435.98,Potential Loyal Customers
398,3,37,499.53,Potential Loyal Customers
401,1,36,342.93,Potential Loyal Customers
404,16,12,1403.38,Champions
409,10,43,514,Potential Loyal Customers
412,6,45,351.35,Potential Loyal Customers
419,3,22,713.32,Potential Loyal Customers
426,1,30,741.36,Potential Loyal Customers
427,2,52,932.52,Potential Loyal Customers
433,0,56,608.27,Potential Loyal Customers
434,0,12,164.3,Potential Loyal Customers
445,1,80,1700.09,Champions
447,13,19,277.6,Potential Loyal Customers
459,1,18,357.73,Potential Loyal Customers
474,3,34,403.05,Potential Loyal Customers
475,0,31,791.57,Potential Loyal Customers
496,1,57,468.8,Potential Loyal Customers
498,0,79,944.52,Loyal Customers
507,9,49,261.71,Potential Loyal Customers
510,14,54,432.24,Potential Loyal Customers
515,0,11,131.43,Potential Loyal Customers
521,0,117,534.81,Loyal Customers
523,55,24,377.89,Promising Customers
535,1,118,929.65,Loyal Customers
538,0,37,451.55,Potential Loyal Customers
540,0,80,456.41,Loyal Customers
541,144,11,161.56,Need Attention
542,0,18,457.94,Potential Loyal Customers
550,0,45,393.49,Potential Loyal Customers
559,1,35,676.3,Potential Loyal Customers
562,0,49,523.35,Potential Loyal Customers
571,9,39,321.23,Potential Loyal Customers
572,1,40,638.79,Potential Loyal Customers
579,0,66,999.35,Loyal Customers
584,4,68,869.18,Loyal Customers
588,15,37,906.05,Potential Loyal Customers
589,5,84,1731.58,Champions
594,0,108,1258.26,Loyal Customers
